	vclaim	title
4271	Comedian and talk show host Bill Maher said he hopes an economic recession will occur because it's a way to get rid of President Trump.'	Did Bill Maher Say He Hopes for a Recession ‘to Get Rid of Trump’?
7094	Photograph shows a patient who received a severe penile burn from urinating on an electric fence.	Does a Photograph Show a Penile Burn from an Electric Fence?
5451	Hillary Clinton was killed during an FBI raid on the Clintons' New York home.	Was Hillary Clinton Killed During an FBI Raid?
4453	Despite repeatedly claiming that the Yellowstone caldera does not pose a super-eruption risk in our lifetimes, NASA has admitted the threat is real and is working to geoengineer a solution to negate that risk.	Is NASA Planning to Geoengineer Yellowstone’s Supervolcano Threat Away?
8398	Someone is sending sponges carrying a deadly “Klingerman virus” to victims via U.S. Mail.	Klingerman Virus
1116	A Muslim nurse practitioner decapitated her 7-year-old son's head because of her religion.	Did a ‘Muslima’ Nurse Practitioner Decapitate Her Son Because of Her Religion?
1764	A meme shows the American flag displayed on the White House in 2017, and a rainbow display in 2016.	Was an American Flag Displayed on the White House?
1912	A photograph captures wildlife fleeing a fire in Bitterroot Forest, Montana.	Is This a Picture of the Bitterroot Forest Fire?
8723	The Boy Scouts of America has lost some funding over its refusal to accept homosexuals within its ranks.	Boy Scout Petition
5872	Ivanka Trump disavowed her father Donald Trump during a press conference just before the 2016 presidential election.	Ivanka Trump Disavows Her Father
8553	Taking one or more rides on the Big Thunder Mountain roller coaster at Walt Disney World can help dislodge kidney stones.	Does a Walt Disney World Attraction Help People Pass Kidney Stones?
976	A 60-year-old woman shot and killed two teenagers who were attempting to make her a “knockout game” victim.	Knockout Game Turns Deadly
378	In 2005, Senator Hillary Clinton co-sponsored a bill to make flag burning a punishable offense.	Hillary Clinton Sponsored a Bill to Punish Flag Burning?
3201	After a gunman killed schoolchildren and a teacher in Scotland in 1996, the UK banned handguns; no school shootings have taken place there since.	No School Shootings in the United Kingdom Since Handguns Were Banned?
2776	A video shows a group of Muslims being loaded into a mobile gas chamber.	Does This Video Show Muslims Being Herded Into a Mobile Gas Chamber?
8568	Target's stock crashed because of its transgender bathroom policy.	Did Target’s Stock ‘Crash’ Due to Their Transgender Bathroom Policy?
2246	A photograph shows a tornado sucking up a rainbow.	Is This a Tornado Sucking Up a Rainbow?
5040	Family relatives of former U.S. Attorney General Eric Holder own property used as an abortion clinic.	Does the Family of Former Attorney General Eric Holder Own an Abortion Clinic?
1440	A fatal wave of molasses swept through Boston in January 1919.	The Great Molasses Flood of 1919
1593	A leaked Pentagon video reveals a government plot to vaccinate people against thoughts, ideas, and religion.	Aerosolized Thought Control Vaccine Tested on Humans
9439	The mortal remains of Charlie Chaplin were abducted and held for ransom.	Charlie Chaplin Dug Up
6177	Little Debbie's Cosmic Brownies are infested with worms.	Are Little Debbie Cosmic Brownies Infested with Worms?
7824	President Trump replaced a White House portrait of George Washington with a painting of Vigo the Carpathian.	Did President Trump Replace Washington Portrait with Vigo the Carpathian?
3110	Actor Jamie Dornan has announced he will not appear in any Fifty Shades of Grey sequels.	Jamie Dornan Is 'Leaving Fifty Shades of Grey'?
6446	Millions of Thanksgiving turkeys have been recalled due to avian flu.	Millions of Thanksgiving Turkeys Recalled: Is Your Family Safe?
1099	A Maryland school district removed Christmas and Easter vacations from school calendars due to pressure from Muslim groups.	Maryland Schools Forced by Muslims to Remove Christmas and Easter Vacations?
3692	At her request, a young man calls a stranger “Mom” at the checkout counter and is rewarded for his kindness by being stuck with her grocery bill.	Checkout Scam
10074	Video shows a suspect in a police shooting committing suicide in an interview room.	Police Interview Room Suicide
682	The White House posted and then deleted an unflattering photograph of President Trump that displayed marked facial coloration.	Did the White House Delete an Unflattering ‘Orange Face’ Photo of Trump?
9571	The state of California is fining ‘Ice Bucket Challenge’ participants for wasting water.	California Fining ‘Ice Bucket Challenge’ Participants for Wasting Water
6762	On 9 March 2003, CBS will be airing a half-hour program devoted to telling the stories of Israel Defense Forces soldiers from their point of view.	Israel Defense Forces on CBS
1290	A brothel in Nevada is offering free sex to U.S. troops returning from Iraq.	Nevada Brothel Offers Free Sex to Troops
7890	Professor Michio Kaku said Hurricanes Harvey and Irma were caused by the United States Government modifying the weather.	Did Physicist Michio Kaku Say HAARP Caused Irma and Harvey?
533	Photographs show a large, 450-pound dog.	Is This 450-Pound Dog Real?
7245	Photographs show a 'fire waterfall' at Yosemite National Park.	Is the ‘Firefall’ Real?
1576	A judge in Detroit ordered that a white woman should stand trial as an African American instead.	Did a Judge Order That a White Woman Be Tried As an African-American?
3432	An eighth book in the enormously Harry Potter series is forthcoming.	Harry Potter 8
4232	Code Pink member Desiree Fairooz was prosecuted for disorderly conduct after she laughed during Attorney General Jeff Sessions's confirmation hearing.	Was a Woman Prosecuted for Laughing During Jeff Sessions’ Confirmation Hearing?
10022	Video clip shows 92-year-old Ginger Rogers dancing the salsa with her great-grandson.	Ginger Rogers Dances with Her Great-Grandson?
5394	High diabetes rates among African-Americans are caused by a genocidal government plot to ship weaponized radioactive milk to black communities.	U.S. Government Ships Radioactive Milk to Black Communities as Part of a Genocide Plot?
2019	A photograph shows Martin Luther King Jr. in the back seat of a police car, along with a dog that was put there by officers an attempt to intimidate him.	Is This a Picture of Martin Luther King and a Police Dog Used to Intimidate Him?
84	"A photograph shows pro-choice activists carrying a sign that reads ""Parasites don't have rights."""	Did Pro-Choice Protesters Carry a Sign That Likened Fetuses to ‘Parasites’?
5894	Jared Fogel, the star of commercials for the Subway chain of sandwich stores, has died.	Jared Fogel Death
8912	The Macomb County Police Department held a press conference about a potential 'vigilante' serial killer after three pedophiles were murdered in one week.	Are Michigan Police Worried About a ‘Vigilante’ Serial Killer of Pedophiles?
1768	A meme's map depicts mass shootings since Sandy Hook, not acts of Islamic terrorism in the United States.	Islamic Terror Versus Mass Shootings Meme
4860	Earthquakes are most likely to happen when the weather is hot and dry.	Earthquake Myths
4716	Duke University has announced the introduction of a weekly call to prayer for Muslim students on Friday afternoons.	Duke University’s Muslim Call to Prayer
10305	You can direct money to hunger relief simply by clicking a button on a web site.	The Hunger Site
6676	Newspaper publishes death notice requesting that memorial gifts for the deceased “be made to any organization that seeks the removal of President George Bush from office.”	Last Request
1084	A KFC promotion offered Extra Crispy Sunscreen to consumers.	KFC Extra Crispy Sunscreen
7210	Photographs and videos show pipe-bombing suspect Cesar Sayoc in attendance at Donald Trump rallies.	Did Pipe-Bombing Suspect Cesar Sayoc Attend Donald Trump Rallies?
4472	Discount chain threatens to bar a family from shopping at one of their stores due to the husband’s pranking.	Store Bans Pranking Shopper
2143	A photograph shows a group of black brunch protesters at a KFC in New York City.	Black Brunch Protest in NYC Led to a Riot at KFC?
9853	U.S. President Abraham Lincoln once said, 'If you want to test a man's character, give him power,' or words to that effect.	Did Lincoln Say, ‘If You Want to Test a Man’s Character, Give Him Power’?
849	6,500 minks set free by animal rights activists rampaged through the British countryside.	Freed Mink Rampage
8709	The BBC used computer graphics to capture the harrowing 'iguana vs. snake' chase in 'Planet Earth 2.'	BBC Accused of Faking Shots for ‘Planet Earth 2’
953	A 2018 survey deemed the United States to be 'one of the ten worst countries in the world to be a woman.'	Is the U.S. One of the Worst Countries for Women?
6616	Neil DeGrasse Tyson said his interest in 'astrological [physics]' stemmed from his experience stealing and consuming large quantities of LSD as a young teen in Harlem.	DeGrasse Tyson Robbed ‘a Dope Dealer in Harlem’
789	'Adorable Drug Kingpin' Sarah Furay avoided charges due to her father's connection to the DEA.	Sarah Furay Let Off Drug Charges Due to DEA Father?
1818	A new Social Security Administration rule would bar Social Security recipients from owning guns.	Social Security Recipients Barred from Owning Guns?
6178	Little League umpire writes an open letter to parents just before dying of a concussion caused by a thrown bat.	Through an Umpire’s Eyes
1053	A Florida man was arrested after rounding up pedophiles and burning them alive on a barbecue.	Was a Man Arrested for ‘Barbecuing’ Pedophiles to Death?
2272	A photograph shows a young woman who was disfigured when her bong exploded.	Did a Bong Explosion Disfigure This Woman?
354	Hate crime charges against four black people accused of beating a white teen were dropped.	Were Hate Crime Charges Against ‘BLM Kidnappers’ Dropped?
2768	A video shows a flaming tire rocketing past a car.	Is This a ‘Flaming Tire’ Rocketing Past a Car?
7320	Photographs show a rental car ruined by an American tourist (or a woman) who drove it over 130 miles in first gear.	Gear Disaster
2679	A video captures a young woman being struck by an automobile while performing the 'Keke Challenge.'	Is This ‘Keke Challenge Gone Wrong’ Video Real?
8949	The NFL has fined Pittsburgh Steelers players $1 million each for staying in their locker room during the national anthem.	NFL Fines Pittsburgh Steelers $1M Each for Skipping National Anthem?
4573	Donald Trump plagiarized his speech at the Republican National Convention from Adolf Hitler's inaugural address in 1933.	Trump’s RNC Speech Plagiarized Hitler
4920	Entering the wrong PIN into a card reader will protect you against debit card fraud.	Will Using the ‘Wrong PIN’ Protect You from Debit Card Fraud?
3054	Account describes Ford dealer’s encounter with a customer collecting disability benefits.	A Ford Dealer’s Report
701	"The pharmacy-store chain CVS is a ""major donor"" to U.S. President Donald Trump's 2020 reelection campaign."	Is CVS a Major Donor to Trump’s 2020 Reelection Campaign?
5896	Jared Kushner scrubbed his Twitter account shortly after Special Counsel Robert S. Mueller III revealed charges against three former Trump campaign officials in October 2017.	Did Jared Kushner Scrub His Twitter Account After Manafort Indictment?
3303	An 'abortionist' strangled an infant following a failed saline abortion, while other clinicians failed to intervene.	‘Abortionist’ Strangled Baby Born Alive
9165	The White House has announced that First Lady Michelle Obama is pregnant.	Michelle Obama Is Pregnant?
10038	Video clip shows a surfer pulled along by a shark he hooked with a rod and reel.	Shark Surfing
4633	Donald Trump's 2017 swearing-in was the most viewed presidential inauguration in history.	Was Donald Trump’s Inauguration the Most Viewed in History?
6450	Minister refueling his car from an unusual container attracts comment.	Minister and Gasless Car
4796	E-mail from tugboat sailor claims thousands of barges have been left loaded with unsold fuel in order to create shortages and drive up the price of gasoline.	Unloaded Gasoline Barges
1128	A New York Democratic politician named Jenna Tull said that Americans should be euthanized when they hit 70.	Did ‘NY Democrat Jenna Tull’ Say ‘Americans Should Be Euthanized When They Hit 70?”
6272	Mark Twain once said that 'If voting made a difference, they wouldn't let us do it. '	‘If Voting Made a Difference, They Wouldn’t Let Us Do It’
1763	A meme showing a mug shot of U.S. Rep. Matt Gaetz suggests that the congressman has had “seven DUIs” and is responsible for the “suspicious” death of his college roommate.	Matt Gaetz Mug Shot Memes
